,key
412,moped
413,naptan:CommonName
414,GNS:id
415,LINZ2OSM:layer
416,LINZ2OSM:source_version
417,LINZ2OSM:dataset
418,manhole
419,naptan:Bearing
420,railway:signal:position
421,mvdgis:padron
422,source:data
423,oneway:bicycle
424,naptan:Street
425,area:highway
426,heritage
427,vending
428,linz2osm:objectid
429,GNS:dsg_code
430,door
431,motorroad
432,source:url
433,source:outline
434,departures_board
435,outdoor_seating
436,brand:en
437,source:shape
438,network:type
439,unsigned_ref
440,zone:maxspeed
441,source:population
442,condition
443,ssr:stedsnr
444,addr:block:en
445,lcn
446,building:fireproof
447,taxon
448,local_ref
449,CLC:id
450,tiger:zip_left_1
451,train
452,building:structure
453,naptan:Indicator
454,prow_ref
455,source:name:br
456,addr:subward
457,is_in:state
458,name:sr
459,species:de
460,mofa
461,traffic_signals:sound
462,massgis:way_id
463,industrial
464,smoking
465,species:en
466,parking:lane:both
467,min_height
468,payment:cash
469,aerialway
470,transformer
471,project:eurosha_2012
472,contact:facebook
473,naptan:NaptanCode
474,waste
475,generator:solar:modules
476,tiger:name_base_2
477,atm
478,wires
479,NHD:Permanent_
480,heritage:operator
481,usar_addr:edit_date
482,hgv:national_network
483,highway:category:pl
484,building:foundation_height
485,line_attachment
486,KSJ2:filename
487,diameter
488,genus:en
489,piste:difficulty
490,old_railway_operator
491,fax
492,name:ja-Hira
493,memorial
494,operational_status
495,artwork_type
496,railway:position
497,board_type
498,tracks
499,osmc:symbol
500,light:method
501,source:ja
502,NHD:Resolution
503,name:he
504,addr:quarter
505,nat_ref
506,drive_through
507,source:hgv:national_network
508,loc_name
509,collection_times
510,canvec:UUID
511,name:prefix
512,building:use:pl
513,source:en
514,sidewalk:right
515,railway:lzb
516,golf_cart
517,gnis:County
518,gnis:ST_num
519,gnis:County_num
520,alt_name:en
521,gnis:ST_alpha
522,piste:grooming
523,operator:en
524,sidewalk:left
525,surveillance
526,site
527,mtb:scale:uphill
528,traffic_signals:vibration
529,GNS:dsg_name
530,FIXME
531,capacity:disabled
532,garden:type
533,light:lit
534,tree:ref
535,stop
536,naptan:Landmark
537,informal
538,is_in:county
539,crossing:barrier
540,surveillance:type
541,uir_adr:ADRESA_KOD
542,playground
543,import_uuid
544,name:sv
545,name:sr-Latn
546,line
547,bollard
548,dispensing
549,manufacturer
550,accuracy:meters
551,colour:back
552,advertising
553,communication:mobile_phone
554,addr:block_number
555,border_type
556,pmfsefin:idedif
557,military
558,colour:text
559,note:en
560,canvec:CODE
561,par
562,length
563,toilets:wheelchair
564,dcgis:gis_id
565,abandoned:building
566,zone
567,fhrs:id
568,railway:preferred_direction
569,name:zh-Hant
570,is_in:city
571,addr:neighbourhood:en
572,source:addr:postcode
573,highspeed
574,name:ko-Latn
575,park_ride
576,inscription
577,loc_ref
578,recycling:glass_bottles
579,source:ele
580,building:min_level
581,maxaxleload
582,name:it
583,addr:city:de
584,couplings
585,colour:arrow
586,abandoned:railway
587,loading_gauge
588,nat_name
589,light:colour
590,addr:city:it
591,railway:radio
592,payment:credit_cards
593,site_type
594,addr:town
595,tiger:name_direction_prefix_1
596,uic_ref
597,drinking_water
598,archaeological_site
599,gnis:county_name
600,ruins
601,camera:type
602,note:city
603,utility
604,psv
605,social_facility
606,maxspeed:forward
607,network:short
608,gtfs_id
609,opening_hours:covid19
610,seamark:name
611,ref:GB:uprn
612,KSJ2:LOC
613,camera:mount
614,KSJ2:RIC
615,KSJ2:WSC
616,KSJ2:DFD
617,maxspeed:backward
618,KSJ2:COP_label
619,KSJ2:river_id
620,KSJ2:RIN
621,voltage:primary
